Station,Code,Habitat,Trap.code,Coord.,Longitude,Latitude,Alt.,Date,Period,Fraction,Number,Dry.weights..g.,Comments,Status
VB14SW4,EPA,Alluvial spread area,VB14SW41,N32.90579 W3.94901,32.90579,3.94901,1048,4/30/2015,April,Messor,0,0,NA,WT
VB14SW5,REG,Reg,VB14SW51,N32.91728 W3.93573,32.91728,3.93573,1040,4/30/2015,April,Messor,0,0,NA,WT
VB17NW1,REG,Reg,VB17NW11,N33.24393 W3.95261,33.24393,3.95261,988,4/28/2015,April,Messor,1,0.00148,NA,WT
VB17NW2,REG,Reg,VB17NW21,N33.24432 W3.92586,33.24432,3.92586,938,4/28/2015,April,Messor,0,0,NA,WT
VB17NW3,REG,Reg,VB17NW31,N33.22191 W3.92567,33.22191,3.92567,945,4/28/2015,April,Messor,1,0.00096,NA,WT
VB17NW4,REG,Reg,VB17NW41,N33.22150 W3.95235,33.2215,3.95235,955,4/28/2015,April,Messor,0,0,NA,WT
VB17NW5,REG,Reg,VB17NW51,N33.23296 W3.93897,33.23296,3.93897,951,4/28/2015,April,Messor,1,0.00095,NA,WT
VB84NW1,REG,Reg,VB84NW11,N32.97675 W3.20088,32.97675,3.20088,1678,5/1/2015,April,Messor,0,0,NA,WT
VB84NW2,REG,Reg,VB84NW21,N32.97704 W3.17403,32.97704,3.17403,1660,5/1/2015,April,Messor,0,0,NA,WT
VB84NW3,REG,Reg,VB84NW31,N32.95861 W3.17567,32.95861,3.17567,1732,5/1/2015,April,Messor,0,0,NA,WT
VB84NW4,REG,Reg,VB84NW43,N32.95170 W3.19753,32.9517,3.19753,1656,5/1/2015,April,Messor,1,0.00096,NA,WT
VB84NW5,ALF,Macrochloa steppe,VB84NW51,N32.96347 W3.19312,32.96347,3.19312,1682,5/1/2015,April,Messor,0,0,NA,WT
VB85SE1,REG,Reg,VB85SE12,N33.02240 W3.14654,33.0224,3.14654,1611,4/30/2015,April,Messor,2,0.0034,NA,WT
VB85SE2,REG,Reg,VB85SE24,N33.02182 W3.12052,33.02182,3.12052,1620,4/30/2015,April,Messor,0,0,NA,WT
VB85SE3,REG,Reg,VB85SE31,N32.99997 W3.12066,32.99997,3.12066,1627,4/30/2015,April,Messor,0,0,NA,WT
VB85SE4,REG,Reg,VB85SE42,N32.99926 W3.14677,32.99926,3.14677,1642,4/30/2015,April,Messor,1,0.00038,NA,WT
VB85SE5,REG,Reg,VB85SE51,N33.01084 W3.13399,33.01084,3.13399,1624,4/30/2015,April,Messor,0,0,NA,WT
VC52SE1,REG,Reg,VC52SE11,N33.65271 W3.47184,33.65271,3.47184,882,4/27/2015,April,Messor,0,0,NA,WT
VC52SE2,REG,Reg,VC52SE21,N33.65283 W3.44492,33.65283,3.44492,808,4/27/2015,April,Messor,0,0,NA,WT
VC52SE3,REG,Reg,VC52SE31,N33.63023 W3.44488,33.63023,3.44488,866,4/27/2015,April,Messor,0,0,NA,WT
VC52SE4,REG,Reg,VC52SE41,N33.63016 W3.47177,33.63016,3.47177,838,4/27/2015,April,Messor,0,0,NA,WT
VC52SE5,REG,Reg,VC52SE51,N33.64152 W3.45841,33.64152,3.45841,843,4/27/2015,April,Messor,0,0,NA,WT
WA67CHENOPOD5,EPA,Alluvial spread area,WA67CHENOPOD51,N32.34732 W2.30805,NA,NA,1016,4/18/2017,April,Messor,0,0,NA,WT
WA67NW1,EPA,Alluvial spread area,WA67NW12,N32.34451 W2.34913,NA,NA,1010,4/18/2017,April,Messor,1,0.00175,NA,WT
WA67NW2,EPA,Alluvial spread area,WA67NW21,N32.34391 W2.32256,NA,NA,1014,4/18/2017,April,Messor,0,0,NA,WT
WA67NW3,EPA,Alluvial spread area,WA67NW31,N32.32129 W2.32279,NA,NA,1016,4/18/2017,April,Messor,0,0,NA,WT
WA67NW4,EPA,Alluvial spread area,WA67NW41,N32.32143 W2.34931,NA,NA,1012,4/18/2017,April,Messor,0,0,NA,WT
WA67NW5,EPA,Alluvial spread area,WA67NW51,N32.33265 W2.33594,NA,NA,1009,4/18/2017,April,Messor,0,0,NA,WT
WB61NE1,ALF,Macrochloa steppe,WB61NE11,N32.70452 W2.29322,32.70452,2.29322,1438,5/2/2015,April,Messor,5,0.00652,NA,WT
WB61NE2,ALF,Macrochloa steppe,WB61NE21,N32.70424 W2.26634,32.70424,2.26634,1466,5/2/2015,April,Messor,0,0,NA,WT
WB61NE3,ALF,Macrochloa steppe,WB61NE31,N32.68708 W2.25530,32.68708,2.2553,1525,5/2/2015,April,Messor,0,0,NA,WT
WB61NE4,ALF,Macrochloa steppe,WB61NE41,N32.68205 W2.29343,32.68205,2.29343,1463,5/2/2015,April,Messor,2,0.00161,NA,WT
WB61NE5,ALF,Macrochloa steppe,WB61NE51,N32.69328 W2.27979,32.69328,2.27979,1462,5/2/2015,April,Messor,32,0.03939,NA,WT
WC24NE1,ALF,Macrochloa steppe,WC24NE11,N33.87870 W2.71618,33.8787,2.71618,1317,4/29/2015,April,Messor,0,0,NA,WT
WC24NE2,ALF,Macrochloa steppe,WC24NE22,N33.87870 W2.68871,33.8787,2.68871,1327,4/29/2015,April,Messor,0,0,NA,WT
WC24NE3,ALF,Macrochloa steppe,WC24NE31,N33.85604 W2.68924,33.85604,2.68924,1306,4/29/2015,April,Messor,0,0,NA,WT
WC24NE4,ALF,Macrochloa steppe,WC24NE41,N33.85622 W2.71620,33.85622,2.7162,1323,4/29/2015,April,Messor,0,0,NA,WT
WC24NE5,ALF,Macrochloa steppe,WC24NE51,N33.86736 W2.70264,33.86736,2.70264,1332,4/29/2015,April,Messor,1,0.00112,NA,WT
WC43NE1,EPA,Alluvial spread area,WC43NE11,N33.78798 W2.50083,33.78798,2.50083,1103,4/28/2015,April,Messor,7,0.01385,NA,WT
WC43NE2,EPA,Alluvial spread area,WC43NE21,N33.78770 W2.47344,33.7877,2.47344,1109,4/28/2015,April,Messor,3,0.00295,NA,WT
WC43NE3,EPA,Alluvial spread area,WC43NE31,N33.76496 W2.47338,33.76496,2.47338,1102,4/28/2015,April,Messor,8,0.0213,NA,WT
WC43NE4,EPA,Alluvial spread area,WC43NE41,N33.76519 W2.50103,33.76519,2.50103,1112,4/28/2015,April,Messor,3,0.00289,NA,WT
WC43NE5,EPA,Alluvial spread area,WC43NE51,N33.77239 W2.48479,33.77239,2.48479,1111,4/28/2015,April,Messor,1,0.00095,NA,WT
