Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
GUE008,34.034,-3.178
GUE009,34.033,-3.146
GUE013,34.061,-3.178
GUE014,34.061,-3.146
GUE015,34.061,-3.113
GUE018,34.087,-3.210
GUE019,34.086,-3.174
GUE020,34.085,-3.146
GUE021,34.086,-3.114
GUE022,34.086,-3.083
GUE023,34.087,-3.049
GUE029,34.114,-3.206
GUE030,34.115,-3.178
GUE031,34.116,-3.143
GUE032,34.118,-3.108
GUE033,34.115,-3.082
GUE034,34.115,-3.048
GUE035,34.114,-3.016
GUE040,34.141,-3.210
GUE041,34.142,-3.178
GUE042,34.141,-3.146
GUE043,34.141,-3.113
GUE044,34.142,-3.082
GUE045,34.141,-3.050
GUE053,34.168,-3.212
GUE055,34.171,-3.145
GUE056,34.169,-3.113
GUE065,34.195,-3.239
GUE066,34.196,-3.209
GUE067,34.202,-3.177
GUE068,34.197,-3.144
GUE069,34.196,-3.113
GUE071,34.195,-3.050
GUE072,34.195,-3.020
GUE082,34.221,-3.112
GUE084,34.221,-3.050
GUE094,34.248,-3.116
GUE095,34.249,-3.079
GUE105,34.275,-3.080
GUE106,34.276,-3.049
GUE113,34.304,-3.082
GUE120,34.329,-3.050
HEA001,33.025,-3.191
HEA002,33.024,-3.163
HEA003,33.015,-3.138
HEA004,33.022,-3.108
HEA010,33.048,-3.202
HEA011,33.047,-3.161
HEA012,33.050,-3.130
HEA013,33.047,-3.101
HEA019,33.074,-3.165
HEA020,33.074,-3.133
HEA021,33.073,-3.101
HEA022,33.076,-3.065
HEA023,33.075,-3.037
HEA024,33.074,-3.005
HEA025,33.074,-2.974
HEA026,33.074,-2.940
HEA028,33.099,-3.167
HEA029,33.101,-3.133
HEA030,33.105,-3.098
HEA031,33.104,-3.068
HEA032,33.101,-3.038
HEA033,33.100,-3.005
HEA034,33.100,-2.973
HEA035,33.102,-2.943
HEA036,33.100,-2.906
HEA042,33.125,-2.968
HEA043,33.129,-2.938
